place_id,name,rating,address
ChIJx8LAtAajoRQRjfKTng9QBL4,Unique cozy 1bedroom apartment-Athenian modernism,,"Leoforos Ionias 169, Athina"
ChIJ4cQ8DgCjoRQRAGQLYefWKw0,andromeda,,"Ἀcharnon 237, Athina"
ChIJnVAFQgCjoRQRF3HFOGK_Iws,Apartment Acropolis View,,"Dimakopoulou 37, Athina"
ChIJV27Y8hOjoRQR60spluzqWeU,Annas home2.Holidays in beautiful Athens,,"Nikopoleos 64, Athina"
ChIJY42Cq1mjoRQRn2Vu3biAlgs,Αnna's Home 2 .Holidays in beautiful Athens,,"Nikopoleos 64, Athina"
ChIJzfSzClWjoRQRCsKWlwlhWU4,Acharnonn Apartment,,"Ἀcharnon 211, Athina"
ChIJ__9rRcWioRQRKHm3-eJTEpQ,Уютный дом 4,4.8,"Ἀcharnon 211, Athina"
ChIJR0UpAgCjoRQREqknVRTPYFc,Sofia's Apartment,,"Α'Παροδος, Σηλυβριας"
ChIJC7rAVOujoRQRJWbh8WnTTnQ,Homey328,,"Ἀcharnon 328, Athina"
ChIJVfWkMdKjoRQRzUXEkBJxDyM,hospitality gr Comfortable near metro,,"Serifou 48, Athina"
ChIJaVJ_E8WioRQRJ-5GusbvL_s,GOLDGET INVESTMENTS LTD,5.0,"Larnakos 9, Athina"
ChIJN5YZLQCjoRQRbvpcaOa2A-s,Athens Artistic Urban Habitat,,"Pretenteri 38, Athina"
ChIJEfbIUJajoRQReDuxOYHfzN8,All Seasons Great Apartment,4.8,"Leoforos Ionias 174, Athina"
ChIJRd1sL3yjoRQR1Q5jtamUjA8,Blue Serenity,5.0,"Sifnou 36, Athina"
ChIJl3cmAACjoRQR7T1kmjN2EOM,الحج فرج,,"Admitou 64, Athina"
ChIJR5apVACjoRQREXb5smc5HuI,Apartment Dimitrisi,,"Kolofonos 4, Athina"
ChIJ2RQAUZ2joRQRUQOl5uGobPM,Agios Kosmas HQ,4.9,"Evgeniou Karavia 58, Athina"
ChIJzQ5gVHyjoRQRyLYZnIaiSg0,ΑΝΝΑ apartment,5.0,"Αττική, Αγίας Σοφίας 152, Αθήνα"
ChIJUZjJHDm9oRQRSoOUIZwlquQ,Exis,3.9,"1 Spartis Street and, Athina"
ChIJ5yjuNsGioRQRpWMabIfGhD8,Athens City Hotel,3.8,"28is Oktovriou 232, Athina"
ChIJbwhygMOioRQR4onw4YV6k5M,Iapetos Village,5.0,"Simis, Σύμη"
ChIJeV4xbeiioRQRxdZ40SItszE,ΞΕΝΟΦΩΝ HOTEL,3.9,"Ἀcharnon 347, Athina"
ChIJx39z3cGioRQRO2EcxllGI6M,"Modern Studio, Athens Center, near Metro station",4.5,"Patision 261, Athina"
ChIJtxifPs2ioRQRlCtq-gvJmEw,Petaluda,4.4,"Ierosolimon 5, Athina"
ChIJd49lLtuioRQR8usZ3aYOoac,Yupin House,4.4,"Michail Koraka 4, Athina"
ChIJg_tvKtCioRQRsIRVq3WNVq8,Sappho house,4.6,"Ἀcharnon 171, Athina"
ChIJpXGaAsCioRQR8DRKeaUGi5w,Dame House,,"Taigetou 55, Athina"
ChIJaYMk4sGioRQR-n9-u0dqeKo,Loft in Athens with Panoramic View,4.6,"Agiou Louka 27, Athina"
ChIJx9XGKcSioRQRVgC37-CAfus,Fenias Room private bath,4.9,"Karamanlaki 14, Athina"
ChIJ42Uiy8-ioRQRwrGHxioQ2D8,Athens Hive,4.7,"Kampani 6, Athina"
ChIJB0hLfMeioRQRvI3WPmBCzsY,Hotel Archodisa,3.0,"Kiou 5, Παραλία"
ChIJUwEFLsWioRQRsEwiw-hqu3w,The Aphrodite House,4.7,"Pafou 11, Athina"
ChIJe_Hv-c-ioRQRiV_s4gTDHto,Roy Hotel,3.4,"Rodou 15, Athina"
ChIJ____vxGYoRQRoKcyqfmM0II,Milias Camps Ltd,3.7,"Stavropoulou 30, Athina"
ChIJTRjNncOioRQRaBmhzgRmsyU,ArEl accommodation,4.3,"Epidamnou 10, Athina"
ChIJtbjHu8iioRQRTQtIuM2dm8U,Semeli Hotel,3.9,"Thiras 16, Athina"
ChIJI0f0dNqioRQRm1fHfYRLKBc,Arcadia Downtown Apartment,3.5,"Paraskevopoulou 52, Athina"
ChIJnao_W8CioRQRdoWq9w-ia7M,ΕΝΟΙΚΙΑΖΟΜΕΝΑ ΔΩΜΑΤΙΑ ΣΤΗΝ ΚΕΑ - “AIGAIONHOUSE'',,"Keas 30, Athina"
ChIJd22rceqioRQR-iFCPLe3Iec,Remvi Hotel,3.2,"Mistriotou 3, Athina"
ChIJi0_hKQCjoRQRRKqxWAGnaVM,Markas,,"Ouiliam Kingk 28, q"
ChIJt4w0lqajoRQRKJZiC4x4CWg,ARTEMIS MODERN APARTMENT,5.0,"Vlavianou 15, Athina"
ChIJnb7gBACjoRQRexrykxVGHyU,سكن,,"Skalistiri 4, Athina"
ChIJHaFcdpmjoRQRLxCEFyMXHEE,ESTIAKYADE,4.3,"Patision 221, Athina"
ChIJY42Cq1mjoRQRn2Vu3biAlgs,Αnna's Home 2 .Holidays in beautiful Athens,,"Nikopoleos 64, Athina"
ChIJV27Y8hOjoRQR60spluzqWeU,Annas home2.Holidays in beautiful Athens,,"Nikopoleos 64, Athina"
ChIJP0GUpMaioRQR8HYuWmn_96E,Hotel Festos,2.8,"Fil 18, Athina"
ChIJRd1sL3yjoRQR1Q5jtamUjA8,Blue Serenity,5.0,"Sifnou 36, Athina"
